playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
Kent Bazemore,27.5538461538,4,77.0,195.0,12.8615384615,3.50769230769,2.41538461538,1.53846153846,0.692307692308,2.26153846154,10.4,4.36923076923,0.415413846154,6.18461538462,2.70769230769,0.426170769231,4.21538461538,1.66153846154,0.381332307692,3.09230769231,2.46153846154,0.543406153846,0.384615384615,3.41538461538
Kentavious Caldwell-Pope,33.1891891892,5,78.0,204.0,13.4054054054,2.2027027027,1.31081081081,1.43243243243,0.216216216216,1.95945945946,10.7702702703,4.59459459459,0.413941891892,5.17567567568,2.44594594595,0.456860810811,5.59459459459,2.14864864865,0.35627027027,2.62162162162,2.06756756757,0.604248648649,0.810810810811,4.41891891892
Kevin Durant,34.2352941176,2,81.0,225.0,26.3529411765,5.38235294118,3.05882352941,0.735294117647,1.75,1.95588235294,17.9558823529,9.26470588235,0.523873529412,11.8823529412,6.72058823529,0.578847058824,6.07352941176,2.54411764706,0.415439705882,5.94117647059,5.27941176471,0.875602941176,0.470588235294,6.36764705882
Kevin Love,28.0338983051,3,82.0,271.0,17.6101694915,1.74576271186,1.52542372881,0.728813559322,0.406779661017,2.03389830508,12.3728813559,5.66101694915,0.42936440678,6.77966101695,3.33898305085,0.451628813559,5.59322033898,2.32203389831,0.357693220339,4.50847457627,3.96610169492,0.78453559322,1.71186440678,7.52542372881
Kevon Looney,13.7878787879,2,81.0,222.0,4.04545454545,0.636363636364,0.469696969697,0.515151515152,0.833333333333,1.60606060606,2.90909090909,1.69696969697,0.478287878788,2.83333333333,1.68181818182,0.48466969697,0.0757575757576,0.0151515151515,0.0151515151515,1.16666666667,0.636363636364,0.241160606061,1.27272727273,2.0
Khem Birch,14.1707317073,3,81.0,220.0,4.34146341463,0.829268292683,0.512195121951,0.365853658537,0.512195121951,1.36585365854,3.07317073171,1.65853658537,0.437051219512,3.07317073171,1.65853658537,0.437051219512,0.0,0.0,0.0,1.48780487805,1.0243902439,0.26727804878,1.70731707317,2.68292682927
Khris Middleton,36.3414634146,2,79.0,215.0,20.1463414634,4.0,2.32926829268,1.43902439024,0.256097560976,3.29268292683,15.5,7.23170731707,0.462854878049,10.5487804878,5.4512195122,0.516463414634,4.9512195122,1.78048780488,0.344551219512,4.41463414634,3.90243902439,0.81266097561,0.548780487805,4.65853658537
Klay Thompson,34.2465753425,5,79.0,205.0,19.9863013699,2.54794520548,1.7397260274,0.767123287671,0.465753424658,1.60273972603,16.1369863014,7.86301369863,0.490928767123,9.01369863014,4.72602739726,0.525094520548,7.12328767123,3.13698630137,0.452678082192,1.34246575342,1.12328767123,0.443304109589,0.424657534247,3.3698630137
Kobi Simmons,20.15625,1,77.0,175.0,6.125,2.125,1.375,0.5625,0.15625,1.90625,5.90625,2.5,0.364334375,4.6875,2.15625,0.41086875,1.21875,0.34375,0.11160625,0.78125,0.78125,0.3125,0.4375,1.125
Kosta Koufos,19.5774647887,3,84.0,265.0,6.71830985915,1.22535211268,0.69014084507,0.676056338028,0.450704225352,2.05633802817,5.47887323944,3.12676056338,0.561338028169,5.47887323944,3.12676056338,0.561338028169,0.0,0.0,0.0,1.04225352113,0.464788732394,0.180918309859,2.0985915493,4.54929577465
